venue,quarter,snapshot_date,asset_class,share,total_usd_billion
binance,2022-Q4,2022-12-31,BTC,0.1456,54.781
binance,2022-Q4,2022-12-31,ETH,0.0976,54.781
binance,2022-Q4,2022-12-31,USDT_USDC,0.5206,54.781
binance,2022-Q4,2022-12-31,native_token,0.1812,54.781
binance,2022-Q4,2022-12-31,long_tail_alts,0.055,54.781
binance,2023-Q1,2023-03-31,BTC,0.2248,68.851
binance,2023-Q1,2023-03-31,ETH,0.1176,68.851
binance,2023-Q1,2023-03-31,USDT_USDC,0.3956,68.851
binance,2023-Q1,2023-03-31,native_token,0.189,68.851
binance,2023-Q1,2023-03-31,long_tail_alts,0.0731,68.851
binance,2023-Q2,2023-06-30,BTC,0.3001,58.877
binance,2023-Q2,2023-06-30,ETH,0.1248,58.877
binance,2023-Q2,2023-06-30,USDT_USDC,0.3327,58.877
binance,2023-Q2,2023-06-30,native_token,0.1329,58.877
binance,2023-Q2,2023-06-30,long_tail_alts,0.1095,58.877
binance,2023-Q3,2023-09-30,BTC,0.2719,58.131
binance,2023-Q3,2023-09-30,ETH,0.1104,58.131
binance,2023-Q3,2023-09-30,USDT_USDC,0.3884,58.131
binance,2023-Q3,2023-09-30,native_token,0.1235,58.131
binance,2023-Q3,2023-09-30,long_tail_alts,0.1059,58.131
binance,2023-Q4,2023-12-31,BTC,0.2949,79.665
binance,2023-Q4,2023-12-31,ETH,0.117,79.665
binance,2023-Q4,2023-12-31,USDT_USDC,0.3208,79.665
binance,2023-Q4,2023-12-31,native_token,0.1355,79.665
binance,2023-Q4,2023-12-31,long_tail_alts,0.1318,79.665
binance,2024-Q1,2024-03-31,BTC,0.3245,120.079
binance,2024-Q1,2024-03-31,ETH,0.1241,120.079
binance,2024-Q1,2024-03-31,USDT_USDC,0.2294,120.079
binance,2024-Q1,2024-03-31,native_token,0.1777,120.079
binance,2024-Q1,2024-03-31,long_tail_alts,0.1443,120.079
binance,2024-Q2,2024-06-30,BTC,0.3447,107.88
binance,2024-Q2,2024-06-30,ETH,0.1463,107.88
binance,2024-Q2,2024-06-30,USDT_USDC,0.2516,107.88
binance,2024-Q2,2024-06-30,native_token,0.147,107.88
binance,2024-Q2,2024-06-30,long_tail_alts,0.1105,107.88
binance,2024-Q3,2024-09-30,BTC,0.3565,112.71
binance,2024-Q3,2024-09-30,ETH,0.1022,112.71
binance,2024-Q3,2024-09-30,USDT_USDC,0.2505,112.71
binance,2024-Q3,2024-09-30,native_token,0.148,112.71
binance,2024-Q3,2024-09-30,long_tail_alts,0.1427,112.71
binance,2024-Q4,2024-12-31,BTC,0.3546,152.568
binance,2024-Q4,2024-12-31,ETH,0.1069,152.568
binance,2024-Q4,2024-12-31,USDT_USDC,0.2011,152.568
binance,2024-Q4,2024-12-31,native_token,0.1441,152.568
binance,2024-Q4,2024-12-31,long_tail_alts,0.1933,152.568
binance,2025-Q1,2025-03-31,BTC,0.3539,134.026
binance,2025-Q1,2025-03-31,ETH,0.0638,134.026
binance,2025-Q1,2025-03-31,USDT_USDC,0.2869,134.026
binance,2025-Q1,2025-03-31,native_token,0.1372,134.026
binance,2025-Q1,2025-03-31,long_tail_alts,0.1582,134.026
binance,2025-Q2,2025-06-30,BTC,0.3862,150.696
binance,2025-Q2,2025-06-30,ETH,0.0788,150.696
binance,2025-Q2,2025-06-30,USDT_USDC,0.2536,150.696
binance,2025-Q2,2025-06-30,native_token,0.134,150.696
binance,2025-Q2,2025-06-30,long_tail_alts,0.1474,150.696
binance,2025-Q3,2025-09-30,BTC,0.3175,198.232
binance,2025-Q3,2025-09-30,ETH,0.15,198.232
binance,2025-Q3,2025-09-30,USDT_USDC,0.1904,198.232
binance,2025-Q3,2025-09-30,native_token,0.182,198.232
binance,2025-Q3,2025-09-30,long_tail_alts,0.1602,198.232
binance,2025-Q4,2025-12-31,BTC,0.3125,168.924
binance,2025-Q4,2025-12-31,ETH,0.1303,168.924
binance,2025-Q4,2025-12-31,USDT_USDC,0.2652,168.924
binance,2025-Q4,2025-12-31,native_token,0.1834,168.924
binance,2025-Q4,2025-12-31,long_tail_alts,0.1085,168.924
okx,2022-Q4,2022-12-31,BTC,0.2535,6.391
okx,2022-Q4,2022-12-31,ETH,0.207,6.391
okx,2022-Q4,2022-12-31,USDT_USDC,0.5244,6.391
okx,2022-Q4,2022-12-31,native_token,0.0,6.391
okx,2022-Q4,2022-12-31,long_tail_alts,0.0151,6.391
okx,2023-Q1,2023-03-31,BTC,0.3358,9.601
okx,2023-Q1,2023-03-31,ETH,0.2299,9.601
