venue,quarter,snapshot_date,days_off_qend,total_usd_billion,share_BTC,share_ETH,share_USDT_USDC,share_native_token,share_long_tail_alts
binance,2022-Q4,2022-12-31,0,54.781,0.1456,0.0976,0.5206,0.1812,0.055
binance,2023-Q1,2023-03-31,0,68.851,0.2248,0.1176,0.3956,0.189,0.0731
binance,2023-Q2,2023-06-30,0,58.877,0.3001,0.1248,0.3327,0.1329,0.1095
binance,2023-Q3,2023-09-30,0,58.131,0.2719,0.1104,0.3884,0.1235,0.1059
binance,2023-Q4,2023-12-31,0,79.665,0.2949,0.117,0.3208,0.1355,0.1318
binance,2024-Q1,2024-03-31,0,120.079,0.3245,0.1241,0.2294,0.1777,0.1443
binance,2024-Q2,2024-06-30,0,107.88,0.3447,0.1463,0.2516,0.147,0.1105
binance,2024-Q3,2024-09-30,0,112.71,0.3565,0.1022,0.2505,0.148,0.1427
binance,2024-Q4,2024-12-31,0,152.568,0.3546,0.1069,0.2011,0.1441,0.1933
binance,2025-Q1,2025-03-31,0,134.026,0.3539,0.0638,0.2869,0.1372,0.1582
binance,2025-Q2,2025-06-30,0,150.696,0.3862,0.0788,0.2536,0.134,0.1474
binance,2025-Q3,2025-09-30,0,198.232,0.3175,0.15,0.1904,0.182,0.1602
binance,2025-Q4,2025-12-31,0,168.924,0.3125,0.1303,0.2652,0.1834,0.1085
okx,2022-Q4,2022-12-31,0,6.391,0.2535,0.207,0.5244,0.0,0.0151
okx,2023-Q1,2023-03-31,0,9.601,0.3358,0.2299,0.4233,0.0,0.0109
okx,2023-Q2,2023-06-30,0,10.274,0.3035,0.1905,0.4956,0.0,0.0104
okx,2023-Q3,2023-09-30,0,9.636,0.2896,0.1688,0.5328,0.0,0.0088
okx,2023-Q4,2023-12-31,0,11.915,0.4239,0.1711,0.3845,0.0,0.0205
okx,2024-Q1,2024-03-31,0,29.961,0.2867,0.1377,0.2013,0.2741,0.1002
okx,2024-Q2,2024-06-30,0,19.058,0.3852,0.1828,0.3287,0.0066,0.0967
okx,2024-Q3,2024-09-30,0,19.429,0.414,0.1403,0.3198,0.0066,0.1193
okx,2024-Q4,2024-12-31,0,26.287,0.412,0.1535,0.2953,0.0051,0.1341
okx,2025-Q1,2025-03-31,0,18.289,0.5255,0.0794,0.3782,0.0002,0.0166
okx,2025-Q2,2025-06-30,0,24.888,0.4865,0.0884,0.3109,0.0037,0.1106
okx,2025-Q3,2025-09-30,0,28.276,0.4203,0.2068,0.2538,0.0014,0.1177
okx,2025-Q4,2025-12-31,0,22.077,0.4178,0.1755,0.3278,0.0005,0.0784
bybit,2022-Q4,2022-12-31,0,2.006,0.1814,0.0929,0.6203,0.0,0.1054
bybit,2023-Q1,2023-03-31,0,3.063,0.2701,0.1039,0.5181,0.0,0.108
bybit,2023-Q2,2023-06-30,0,3.168,0.3201,0.1313,0.4592,0.0,0.0895
bybit,2023-Q3,2023-09-30,0,3.52,0.2741,0.1155,0.4455,0.0,0.165
bybit,2023-Q4,2023-12-31,0,5.73,0.3056,0.1405,0.3282,0.0,0.2257
bybit,2024-Q1,2024-03-31,0,9.232,0.3891,0.1201,0.2149,0.0,0.2759
bybit,2024-Q2,2024-06-30,0,8.252,0.3416,0.1502,0.2961,0.0,0.2121
bybit,2024-Q3,2024-09-30,0,10.286,0.3375,0.1064,0.2858,0.0,0.2703
bybit,2024-Q4,2024-12-31,0,16.801,0.316,0.1138,0.2721,0.0,0.2981
bybit,2025-Q1,2025-03-31,0,15.008,0.3203,0.072,0.2899,0.0,0.3178
bybit,2025-Q2,2025-06-30,0,19.033,0.333,0.0902,0.2773,0.0,0.2995
bybit,2025-Q3,2025-09-30,0,26.337,0.2784,0.0932,0.2109,0.0,0.4175
bybit,2025-Q4,2025-12-31,0,18.359,0.3007,0.0886,0.3102,0.0,0.3005
