quarter,T,k,Nk_hat,alpha_knm,prior_polylog
2022-Q4,1,1,0,0.8333,0.7368
2022-Q4,1,2,0,1.4167,0.595
2022-Q4,1,3,0,2.0,0.4805
2023-Q1,2,1,1,0.8333,1.0815
2023-Q1,2,2,0,1.4167,1.1425
2023-Q1,2,3,0,2.0,1.2069
2023-Q2,3,1,0,0.8333,1.3128
2023-Q2,3,2,0,1.4167,1.5884
2023-Q2,3,3,0,2.0,1.9218
2023-Q3,4,1,0,0.8333,1.4867
2023-Q3,4,2,0,1.4167,1.9624
2023-Q3,4,3,0,2.0,2.5903
2023-Q4,5,1,0,0.8333,1.6258
2023-Q4,5,2,0,1.4167,2.2846
2023-Q4,5,3,0,2.0,3.2104
2024-Q1,6,1,2,0.8333,1.7415
2024-Q1,6,2,1,1.4167,2.568
2024-Q1,6,3,0,2.0,3.7866
2024-Q2,7,1,1,0.8333,1.8406
2024-Q2,7,2,0,1.4167,2.8211
2024-Q2,7,3,0,2.0,4.3241
2024-Q3,8,1,1,0.8333,1.9271
2024-Q3,8,2,0,1.4167,3.0502
2024-Q3,8,3,0,2.0,4.8278
2024-Q4,9,1,2,0.8333,2.0038
2024-Q4,9,2,1,1.4167,3.2594
2024-Q4,9,3,0,2.0,5.3019
2025-Q1,10,1,2,0.8333,2.0726
2025-Q1,10,2,1,1.4167,3.4522
2025-Q1,10,3,0,2.0,5.7499
2025-Q2,11,1,0,0.8333,2.1351
2025-Q2,11,2,0,1.4167,3.631
2025-Q2,11,3,0,2.0,6.1748
2025-Q3,12,1,3,0.8333,2.1923
2025-Q3,12,2,3,1.4167,3.7978
2025-Q3,12,3,1,2.0,6.579
2025-Q4,13,1,2,0.8333,2.245
2025-Q4,13,2,1,1.4167,3.9541
2025-Q4,13,3,0,2.0,6.9646
