outcome,estimator,tau,se,t,p,sign_positive
risky_share_naive,TWFE_naive,+0.111970,0.011133,+10.0579,0.0000,1
risky_share_naive,CallawaySantAnna,+0.111970,0.034359,+3.2588,0.0011,1
risky_share_naive,SunAbraham,+0.111970,0.034359,+3.2588,0.0011,1
risky_share_naive,BorusyakJaravelSpiess,+0.111970,0.034359,+3.2588,0.0011,1
one_minus_safe,TWFE_naive,+0.111997,0.011132,+10.0606,0.0000,1
one_minus_safe,CallawaySantAnna,+0.111997,0.034354,+3.2601,0.0011,1
one_minus_safe,SunAbraham,+0.111997,0.034354,+3.2601,0.0011,1
one_minus_safe,BorusyakJaravelSpiess,+0.111997,0.034354,+3.2601,0.0011,1
native_only,TWFE_naive,+0.013843,0.008129,+1.7030,0.0886,1
native_only,CallawaySantAnna,+0.013843,0.026497,+0.5225,0.6014,1
native_only,SunAbraham,+0.013843,0.026497,+0.5225,0.6014,1
native_only,BorusyakJaravelSpiess,+0.013843,0.026497,+0.5225,0.6014,1
