issuer,quarter,snapshot_date,circulating_usd
BUSD,2022-Q4,2022-12-31,16715533894.00
BUSD,2023-Q1,2023-03-31,7632018815.00
BUSD,2023-Q2,2023-06-30,4155244539.00
BUSD,2023-Q3,2023-09-30,2262538520.00
BUSD,2023-Q4,2023-12-31,1013937983.00
BUSD,2024-Q1,2024-03-31,84511464.00
BUSD,2024-Q2,2024-06-30,70511464.00
BUSD,2024-Q3,2024-09-30,69511464.00
BUSD,2024-Q4,2024-12-31,68223497.00
BUSD,2025-Q1,2025-03-31,57893556.00
BUSD,2025-Q2,2025-06-30,57792684.00
BUSD,2025-Q3,2025-09-30,55026240.00
BUSD,2025-Q4,2025-12-31,55026240.00
DAI,2022-Q4,2022-12-31,5061925238.00
DAI,2023-Q1,2023-03-31,5096764173.00
DAI,2023-Q2,2023-06-30,4379764323.00
DAI,2023-Q3,2023-09-30,5485378687.00
DAI,2023-Q4,2023-12-31,5189602665.00
DAI,2024-Q1,2024-03-31,4828051348.00
DAI,2024-Q2,2024-06-30,5059898651.00
DAI,2024-Q3,2024-09-30,5034617474.00
DAI,2024-Q4,2024-12-31,4421204638.00
DAI,2025-Q1,2025-03-31,4154579376.00
DAI,2025-Q2,2025-06-30,4293552852.00
DAI,2025-Q3,2025-09-30,5079987913.00
DAI,2025-Q4,2025-12-31,4498019202.00
FDUSD,2023-Q2,2023-06-30,1074.00
FDUSD,2023-Q3,2023-09-30,406763578.00
FDUSD,2023-Q4,2023-12-31,1801091367.00
FDUSD,2024-Q1,2024-03-31,2173955537.00
FDUSD,2024-Q2,2024-06-30,1803771486.00
FDUSD,2024-Q3,2024-09-30,2506012371.00
FDUSD,2024-Q4,2024-12-31,1905103912.00
FDUSD,2025-Q1,2025-03-31,2323196704.00
FDUSD,2025-Q2,2025-06-30,1225274646.00
FDUSD,2025-Q3,2025-09-30,815712675.00
FDUSD,2025-Q4,2025-12-31,516314246.00
FRAX,2022-Q4,2022-12-31,1018393133.00
FRAX,2023-Q1,2023-03-31,1044853133.00
FRAX,2023-Q2,2023-06-30,1004141409.00
FRAX,2023-Q3,2023-09-30,671723781.00
FRAX,2023-Q4,2023-12-31,649462236.00
FRAX,2024-Q1,2024-03-31,392167022.00
FRAX,2024-Q2,2024-06-30,385986943.00
FRAX,2024-Q3,2024-09-30,353236561.00
